customer_id,recency,frequency,profit,r,f,m,rfm_score,customer_profile,address,postcode,state,country,property_valuation,gender,past_3_years_bike_related_purchases,DOB,job_industry_category,wealth_segment,owns_car,tenure,age,age_group
499,55.0,11,4043.5800000000004,2,4,3,243,Silver,02 Boyd Crossing,3143,VIC,Australia,7,Male,39,1961-03-15,Financial Services,Affluent Customer,No,19.0,62.53340256018331,50-64
500,24.0,8,3977.81,3,4,3,343,Gold,2639 Brown Road,3910,VIC,Australia,7,Male,19,1992-04-11,Retail,Affluent Customer,Yes,10.0,31.458158030863753,20-34
502,131.0,5,2959.58,1,2,3,123,Bronze,353 Stuart Trail,4702,QLD,Australia,3,Female,39,1970-12-24,Manufacturing,Mass Customer,No,18.0,52.75633663822735,50-64
503,83.0,4,1280.6399999999999,2,1,1,211,Bronze,9 Rowland Road,2133,NSW,Australia,10,Male,87,1989-07-19,Health,Affluent Customer,Yes,10.0,34.18785131683129,35-49
504,136.0,8,2714.7599999999998,1,4,2,142,Bronze,830 Summit Center,3075,VIC,Australia,7,Male,93,1995-04-25,Manufacturing,High Net Worth,Yes,7.0,28.421819160113497,20-34
506,56.0,10,6985.24,2,4,4,244,Silver,808 Debra Center,3911,VIC,Australia,10,Female,43,1985-02-14,Retail,Mass Customer,No,21.0,38.61230904012472,35-49
507,36.0,8,4290.77,3,4,4,344,Gold,8739 Service Park,2250,NSW,Australia,8,Female,98,1971-07-05,Health,Mass Customer,No,7.0,52.22792058587857,50-64
508,155.0,6,3533.36,1,2,3,123,Bronze,4 Thackeray Pass,2487,NSW,Australia,9,Female,94,1971-01-18,Property,Mass Customer,Yes,11.0,52.68788896305264,50-64
509,89.0,6,4389.7300000000005,1,2,4,124,Bronze,9 Bayside Hill,4123,QLD,Australia,6,Male,64,1979-08-06,Financial Services,Affluent Customer,Yes,21.0,44.14014328723452,35-49
511,11.0,5,2782.8799999999997,4,2,2,422,Platinum,7 Hooker Place,2428,NSW,Australia,3,Female,92,1982-12-02,Health,High Net Worth,No,10.0,40.81632418075047,35-49
512,95.0,4,1136.3400000000001,1,1,1,111,Bronze,089 Old Shore Point,3156,VIC,Australia,8,Male,76,1955-04-15,Financial Services,Mass Customer,No,6.0,68.45001960228548,65-79
514,123.0,5,2144.29,1,2,2,122,Bronze,08501 Kropf Trail,3152,VIC,Australia,10,Male,9,1996-06-20,Financial Services,Mass Customer,Yes,4.0,27.26642240316435,20-34
515,14.0,9,6986.24,4,4,4,444,Platinum,12845 Paget Lane,2026,NSW,Australia,12,Female,55,1989-09-04,IT,High Net Worth,No,8.0,34.05916968750284,35-49
516,19.0,10,4722.21,3,4,4,344,Gold,1 Vidon Pass,2233,NSW,Australia,8,Male,23,1958-01-07,Financial Services,Mass Customer,No,20.0,65.71758840931095,65-79
517,10.0,6,2632.16,4,2,2,422,Platinum,590 Hayes Court,2027,NSW,Australia,11,Female,73,1985-08-20,Property,Mass Customer,Yes,3.0,38.10032042981787,35-49
518,261.0,3,938.2500000000001,1,1,1,111,Bronze,49503 Sachtjen Circle,4208,QLD,Australia,8,Male,60,1991-04-28,Retail,Mass Customer,Yes,10.0,32.41368757630274,20-34
520,16.0,5,819.2600000000001,4,2,1,421,Platinum,3169 Old Gate Point,2211,NSW,Australia,9,Female,66,1964-08-09,Financial Services,Affluent Customer,Yes,15.0,59.130184150496596,50-64
521,154.0,2,624.9000000000001,1,1,1,111,Bronze,90974 Chinook Parkway,2564,NSW,Australia,8,Female,29,1978-12-19,Health,High Net Worth,No,16.0,44.769861898841874,35-49
523,18.0,6,2795.7700000000004,3,2,2,322,Gold,62 Northport Lane,2049,NSW,Australia,10,Female,44,1974-11-24,Financial Services,Affluent Customer,Yes,16.0,48.8383917112268,35-49
524,138.0,7,2024.53,1,3,2,132,Bronze,84 Calypso Circle,3690,VIC,Australia,5,Female,16,1962-09-09,Retail,Mass Customer,No,11.0,61.04671905538856,50-64
525,119.0,8,3584.83,1,4,3,143,Bronze,81848 Amoth Road,3282,VIC,Australia,2,Male,64,1980-02-12,Manufacturing,Mass Customer,Yes,9.0,43.619940955906706,35-49
527,43.0,2,1694.76,3,1,1,311,Silver,1 Cordelia Alley,2261,NSW,Australia,8,Female,81,1990-10-19,Financial Services,Mass Customer,Yes,9.0,32.936627814637546,20-34
528,134.0,7,4175.150000000001,1,3,3,133,Bronze,80 Lakewood Street,2576,NSW,Australia,10,Female,10,1979-06-06,Health,Mass Customer,No,4.0,44.30715561466082,35-49
529,12.0,6,2339.14,4,2,2,422,Platinum,66834 Melby Way,2160,NSW,Australia,9,Male,18,1989-07-21,Retail,Affluent Customer,Yes,10.0,34.182375502817315,35-49
530,162.0,3,1751.35,1,1,1,111,Bronze,35796 Buhler Plaza,3108,VIC,Australia,10,Male,2,1974-09-24,Manufacturing,Mass Customer,No,15.0,49.0054040386531,50-64
531,61.0,6,1761.46,2,2,1,221,Silver,306 Longview Street,2145,NSW,Australia,7,Female,94,1993-08-26,Financial Services,High Net Worth,No,1.0,30.083728713355523,20-34
532,28.0,6,3920.83,3,2,3,323,Gold,39632 Michigan Park,4165,QLD,Australia,5,Female,25,1961-01-14,Financial Services,Affluent Customer,No,19.0,62.69767698060262,50-64
533,2.0,6,5387.05,4,2,4,424,Platinum,1038 Hayes Point,2021,NSW,Australia,7,Male,40,1981-12-14,Retail,Mass Customer,No,11.0,41.782805354217416,35-49
536,32.0,4,3662.2999999999993,3,1,3,313,Gold,64700 2nd Alley,2145,NSW,Australia,7,Female,64,1959-04-07,Manufacturing,Affluent Customer,No,16.0,64.47184072113117,65-79
537,49.0,3,825.73,2,1,1,211,Bronze,999 Huxley Hill,2190,NSW,Australia,10,Female,16,1989-03-26,Entertainment,High Net Worth,No,7.0,34.50271062263497,35-49
538,4.0,7,6447.15,4,3,4,434,Platinum,311 Emmet Point,4211,QLD,Australia,7,Female,33,1956-10-21,Manufacturing,Mass Customer,Yes,5.0,66.93048121340686,65-79
539,36.0,8,1676.43,3,4,1,341,Gold,000 Jana Hill,3170,VIC,Australia,9,Male,53,1975-08-10,Health,High Net Worth,No,15.0,48.129273796416776,35-49
540,79.0,6,1821.0300000000002,2,2,1,221,Silver,7671 Oak Valley Junction,2170,NSW,Australia,9,Female,80,2001-04-28,Manufacturing,Mass Customer,No,1.0,22.412113279773724,20-34
541,137.0,5,2755.28,1,2,2,122,Bronze,8304 Derek Park,3130,VIC,Australia,10,Female,23,1966-01-01,Manufacturing,Affluent Customer,Yes,13.0,57.73385157693246,50-64
542,38.0,6,2098.52,3,2,2,322,Gold,8635 Cody Crossing,2337,NSW,Australia,6,Female,78,1967-01-14,Manufacturing,Mass Customer,No,18.0,56.6989227282908,50-64
543,0.0,5,1924.15,4,2,2,422,Platinum,20 Debs Road,2307,NSW,Australia,4,Male,9,1973-08-03,Retail,Affluent Customer,Yes,17.0,50.14711126056731,50-64
544,173.0,4,2246.42,1,1,2,112,Bronze,858 Independence Terrace,2121,NSW,Australia,10,Male,51,1990-10-12,Manufacturing,High Net Worth,Yes,5.0,32.955793163686465,20-34
545,6.0,6,5665.789999999999,4,2,4,424,Platinum,142 Cambridge Place,2761,NSW,Australia,8,Female,43,1978-06-04,Health,Mass Customer,Yes,18.0,45.3119674862256,35-49
546,37.0,5,4449.53,3,2,4,324,Gold,20198 Hansons Plaza,2340,NSW,Australia,2,Female,80,1981-02-24,Health,Mass Customer,Yes,12.0,42.58501210726505,35-49
547,74.0,6,2901.1899999999996,2,2,3,223,Silver,04678 Elka Crossing,2745,NSW,Australia,9,Female,22,1996-05-14,Health,Mass Customer,No,5.0,27.367724962422923,20-34
549,40.0,8,3751.75,3,4,3,343,Gold,2 East Circle,2716,NSW,Australia,1,Male,84,1985-06-15,Retail,Mass Customer,Yes,2.0,38.28102229227911,35-49
550,14.0,5,1437.7199999999998,4,2,1,421,Platinum,1949 Pepper Wood Pass,3168,VIC,Australia,6,Female,16,1976-07-10,Retail,Mass Customer,No,15.0,47.21207494907563,35-49
551,152.0,4,2850.0,1,1,2,112,Bronze,7901 Park Meadow Plaza,3076,VIC,Australia,7,Female,8,1987-08-10,Financial Services,High Net Worth,No,9.0,36.12902738478615,35-49
552,159.0,4,1577.7000000000003,1,1,1,111,Bronze,58 Maywood Place,2750,NSW,Australia,9,Male,66,1978-09-09,Manufacturing,High Net Worth,Yes,20.0,45.046390506547716,35-49
553,19.0,6,2566.27,3,2,2,322,Gold,532 Bartillon Circle,2166,NSW,Australia,7,Female,62,1979-05-12,Argiculture,Affluent Customer,Yes,7.0,44.37560328983553,35-49
554,38.0,3,1670.6699999999998,3,1,1,311,Silver,032 Kenwood Circle,2031,NSW,Australia,9,Female,33,1955-05-06,Health,Mass Customer,Yes,7.0,68.39252355513872,65-79
555,165.0,4,3505.6299999999997,1,1,3,113,Bronze,67 8th Terrace,3564,VIC,Australia,4,Male,99,1970-11-08,Property,Mass Customer,No,4.0,52.882280360548826,50-64
557,181.0,2,830.3100000000001,1,1,1,111,Bronze,956 Mccormick Place,4127,QLD,Australia,2,Female,67,1961-06-02,Manufacturing,Affluent Customer,Yes,18.0,62.31710790663122,50-64
559,6.0,4,1824.48,4,1,1,411,Gold,1 Service Alley,2116,NSW,Australia,10,Female,39,1988-03-05,Retail,High Net Worth,Yes,16.0,35.559542727332534,35-49
560,41.0,6,3583.46,3,2,3,323,Gold,62117 Trailsway Place,3356,VIC,Australia,1,Female,1,1953-10-11,Health,Affluent Customer,No,8.0,69.95860636313614,65-79
563,33.0,7,1931.13,3,3,2,332,Gold,9161 Hoepker Street,4740,QLD,Australia,5,Male,25,1974-09-20,IT,Mass Customer,Yes,19.0,49.01635566668105,50-64
564,11.0,6,2143.39,4,2,2,422,Platinum,19 Lakewood Gardens Way,2760,NSW,Australia,9,Female,7,1983-11-07,Retail,High Net Worth,No,7.0,39.88543579837438,35-49
565,104.0,10,7079.07,1,4,4,144,Bronze,5861 Browning Park,2065,NSW,Australia,8,Male,30,1959-10-02,Manufacturing,Mass Customer,Yes,16.0,63.984493273887225,50-64
566,52.0,3,2145.56,2,1,2,212,Silver,396 Butternut Point,2230,NSW,Australia,12,Female,66,1978-12-09,Financial Services,High Net Worth,Yes,9.0,44.79724096891176,35-49
567,60.0,4,439.57000000000005,2,1,1,211,Bronze,04 Hansons Street,2087,NSW,Australia,11,Male,73,1965-07-08,Financial Services,Affluent Customer,No,16.0,58.218461117169426,50-64
568,91.0,7,1258.1,1,3,1,131,Bronze,8601 Cardinal Court,4505,QLD,Australia,8,Male,32,1957-12-15,Manufacturing,Mass Customer,No,13.0,65.78056027047168,65-79
569,98.0,4,6084.139999999999,1,1,4,114,Bronze,35631 Colorado Crossing,2630,NSW,Australia,2,Male,30,1976-01-31,IT,Mass Customer,No,10.0,47.652877977200774,35-49
570,35.0,6,3446.07,3,2,3,323,Gold,446 Dottie Court,2225,NSW,Australia,10,Male,14,1978-06-24,Financial Services,Mass Customer,Yes,15.0,45.25720934608583,35-49
571,72.0,3,2284.98,2,1,2,212,Silver,37 Ilene Hill,3121,VIC,Australia,10,Female,30,1958-02-15,Entertainment,Mass Customer,No,6.0,65.6108100360384,65-79
572,13.0,6,2600.44,4,2,2,422,Platinum,909 Browning Crossing,3013,VIC,Australia,10,Male,0,1967-05-01,Health,High Net Worth,Yes,5.0,56.40596667854303,50-64
574,277.0,4,2172.4100000000003,1,1,2,112,Bronze,7 Claremont Court,2111,NSW,Australia,12,Male,95,1990-04-09,Financial Services,Mass Customer,No,20.0,33.46504386698633,20-34
575,248.0,2,714.24,1,1,1,111,Bronze,64 Hayes Circle,2209,NSW,Australia,11,Male,64,1956-06-10,Financial Services,High Net Worth,Yes,11.0,67.29462284533633,65-79
576,7.0,6,4580.35,4,2,4,424,Platinum,44 Bunting Parkway,2106,NSW,Australia,10,Male,98,1977-05-19,Retail,Mass Customer,Yes,7.0,46.355110055888225,35-49
577,2.0,11,4242.34,4,4,4,444,Platinum,8 Pawling Alley,3930,VIC,Australia,8,Female,41,1956-04-08,Property,Mass Customer,Yes,19.0,67.4671109867766,65-79
579,52.0,9,4204.6,2,4,4,244,Silver,4559 Stoughton Lane,2097,NSW,Australia,10,Female,89,1974-06-11,Health,Mass Customer,No,12.0,49.29288427438689,50-64
580,24.0,5,2185.51,3,2,2,322,Gold,7046 Surrey Road,2287,NSW,Australia,7,Male,83,1975-12-03,Financial Services,Mass Customer,Yes,14.0,47.814414490613096,35-49
581,53.0,4,2223.5499999999997,2,1,2,212,Silver,58821 Warbler Crossing,2291,NSW,Australia,9,Female,32,1969-05-22,Financial Services,Mass Customer,Yes,16.0,54.347060609287674,50-64
583,31.0,4,2258.1899999999996,3,1,2,312,Gold,8 Sommers Circle,2305,NSW,Australia,7,Male,97,1986-04-14,Health,Mass Customer,No,4.0,37.45143646916159,35-49
584,132.0,4,1270.2099999999998,1,1,1,111,Bronze,3 Lunder Place,2300,NSW,Australia,10,Female,10,1995-09-15,Manufacturing,Affluent Customer,Yes,19.0,28.030298458114142,20-34
585,97.0,7,2991.86,1,3,3,133,Bronze,93098 Loftsgordon Pass,4179,QLD,Australia,4,Female,66,1978-04-20,Health,Mass Customer,Yes,10.0,45.43517330154008,35-49
586,90.0,4,2562.4700000000003,1,1,2,112,Bronze,61493 Manufacturers Junction,2539,NSW,Australia,9,Female,63,1999-03-15,Manufacturing,Mass Customer,No,4.0,24.533991210189818,20-34
587,53.0,7,3293.38,2,3,3,233,Silver,1192 Declaration Hill,3207,VIC,Australia,8,Male,43,1966-05-27,Health,Mass Customer,Yes,19.0,57.33411715391214,50-64
588,19.0,5,3603.85,3,2,3,323,Gold,62 Cherokee Terrace,2630,NSW,Australia,1,Male,15,1963-10-05,Entertainment,Mass Customer,No,11.0,59.976197415656046,50-64
589,10.0,3,1397.8999999999999,4,1,1,411,Gold,01736 Saint Paul Way,2154,NSW,Australia,11,Male,76,1995-12-07,Financial Services,Mass Customer,Yes,1.0,27.803052176534095,20-34
590,43.0,12,6629.57,3,4,4,344,Gold,9816 Carberry Trail,2036,NSW,Australia,11,Female,85,1988-09-09,Health,Mass Customer,Yes,11.0,35.044816210018695,35-49
591,221.0,2,484.9599999999999,1,1,1,111,Bronze,36912 Gina Pass,2133,NSW,Australia,11,Male,16,1974-10-02,Entertainment,Affluent Customer,No,16.0,48.98350078259719,35-49
592,199.0,4,1071.53,1,1,1,111,Bronze,86857 Hoepker Lane,4300,QLD,Australia,8,Male,73,1992-09-24,Manufacturing,Mass Customer,No,2.0,31.00366546770366,20-34
595,184.0,3,2011.16,1,1,2,112,Bronze,0278 Elka Place,4305,QLD,Australia,4,Male,72,1973-05-12,Financial Services,Mass Customer,No,22.0,50.37435754214735,50-64
596,85.0,3,3836.34,2,1,3,213,Silver,067 Cottonwood Park,4340,QLD,Australia,2,Female,9,1968-10-20,Property,Affluent Customer,No,13.0,54.93297270878322,50-64
597,61.0,5,1830.3900000000003,2,2,1,221,Silver,60010 Knutson Road,3137,VIC,Australia,7,Female,6,1954-12-10,Manufacturing,Mass Customer,No,6.0,68.79499588516603,65-79
598,131.0,7,3535.56,1,3,3,133,Bronze,945 Hayes Park,2075,NSW,Australia,12,Male,25,1967-06-27,Financial Services,High Net Worth,No,12.0,56.24990597914469,50-64
600,206.0,3,1854.78,1,1,2,112,Bronze,0 Rigney Way,2148,NSW,Australia,8,Male,65,1974-05-10,Argiculture,Mass Customer,Yes,8.0,49.38049729861052,50-64
601,58.0,5,1423.4399999999998,2,2,1,221,Silver,71 Meadow Ridge Parkway,2539,NSW,Australia,11,Male,56,1992-12-04,Retail,High Net Worth,Yes,4.0,30.809274070207476,20-34
603,49.0,7,3148.1,2,3,3,233,Silver,846 Clove Junction,4300,QLD,Australia,5,Female,28,1987-04-18,Financial Services,Affluent Customer,No,11.0,36.44114878358284,35-49
604,69.0,6,4661.959999999999,2,2,4,224,Silver,07 Pepper Wood Way,2750,NSW,Australia,8,Female,72,1998-02-10,IT,Affluent Customer,No,3.0,25.62367819897124,20-34
605,2.0,8,5025.639999999999,4,4,4,444,Platinum,425 Thierer Junction,2761,NSW,Australia,8,Male,13,1972-03-26,Manufacturing,Mass Customer,Yes,5.0,51.50237522902662,50-64
606,55.0,6,2488.5299999999997,2,2,2,222,Silver,876 Ridgeview Circle,2566,NSW,Australia,8,Female,62,1989-07-16,Manufacturing,Mass Customer,Yes,2.0,34.19606503785226,35-49
607,58.0,10,7137.62,2,4,4,244,Silver,00164 Canary Drive,2041,NSW,Australia,11,Female,55,1976-08-10,Health,Mass Customer,No,15.0,47.12719983185898,35-49
608,85.0,8,4050.11,2,4,3,243,Silver,61 Talmadge Lane,4504,QLD,Australia,6,Female,55,1980-01-08,Retail,High Net Worth,Yes,12.0,43.7157677011513,35-49
609,36.0,4,2168.73,3,1,2,312,Gold,55 Birchwood Alley,2176,NSW,Australia,9,Female,32,2000-11-06,Health,Mass Customer,No,1.0,22.885771191982734,20-34
610,46.0,9,3399.91,2,4,3,243,Silver,3785 Dapin Drive,2036,NSW,Australia,6,Male,45,1958-03-16,Financial Services,Mass Customer,Yes,15.0,65.53141073283572,65-79
611,3.0,8,3500.44,4,4,3,443,Platinum,83 Ryan Hill,4551,QLD,Australia,8,Male,58,1986-12-20,Manufacturing,Mass Customer,Yes,16.0,36.766959717414466,35-49
612,1.0,5,2115.47,4,2,2,422,Platinum,679 Huxley Trail,2087,NSW,Australia,11,Male,50,1962-01-12,Health,Mass Customer,No,14.0,61.70381673706579,50-64
613,3.0,6,2098.59,4,2,2,422,Platinum,2 Hoffman Way,2212,NSW,Australia,9,Female,4,1989-11-14,Property,High Net Worth,No,17.0,33.86477829000665,20-34
614,18.0,9,6120.46,3,4,4,344,Gold,786 Rowland Court,2035,NSW,Australia,11,Female,45,1995-09-12,Manufacturing,Mass Customer,Yes,11.0,28.038512179135108,20-34
615,42.0,4,3620.88,3,1,3,313,Gold,375 Drewry Alley,4120,QLD,Australia,9,Female,93,1956-05-11,Property,Mass Customer,No,19.0,67.37676005554599,65-79
616,92.0,4,1696.0,1,1,1,111,Bronze,608 Basil Alley,2306,NSW,Australia,4,Female,36,1995-07-13,Health,High Net Worth,No,6.0,28.205524506561407,20-34
617,20.0,4,2313.43,3,1,2,312,Gold,9 Schmedeman Hill,4075,QLD,Australia,7,Female,81,1960-08-01,Property,Mass Customer,No,15.0,63.15216954376272,50-64
618,308.0,2,1202.3899999999999,1,1,1,111,Bronze,95022 Roth Terrace,3975,VIC,Australia,7,Male,17,1962-04-05,Manufacturing,Affluent Customer,Yes,18.0,61.47657045548575,50-64
619,65.0,7,3378.3500000000004,2,3,3,233,Silver,66897 Pawling Circle,2066,NSW,Australia,9,Male,39,1977-08-14,Property,Mass Customer,No,20.0,46.11691214628022,35-49
620,103.0,8,1981.2999999999997,1,4,2,142,Bronze,1 Thackeray Crossing,4114,QLD,Australia,3,Female,54,1973-03-26,Financial Services,Mass Customer,Yes,5.0,50.50303917147581,50-64
622,266.0,3,1627.6899999999998,1,1,1,111,Bronze,1923 Fisk Lane,4341,QLD,Australia,3,Male,18,1968-10-18,Financial Services,Mass Customer,No,17.0,54.938448522797195,50-64
623,93.0,3,1636.8900000000003,1,1,1,111,Bronze,4 Loeprich Avenue,4022,QLD,Australia,3,Male,52,1988-04-23,Property,High Net Worth,No,4.0,35.4253852839901,35-49
624,90.0,3,3352.89,1,1,3,113,Bronze,575 Prentice Road,2168,NSW,Australia,8,Male,44,1976-01-13,Manufacturing,Mass Customer,Yes,13.0,47.702160303326565,35-49
625,16.0,6,2326.08,4,2,2,422,Platinum,8 Melrose Road,4116,QLD,Australia,7,Female,33,1974-11-27,Entertainment,High Net Worth,Yes,7.0,48.83017799020583,35-49
626,54.0,9,3437.37,2,4,3,243,Silver,226 Rowland Street,4178,QLD,Australia,7,Male,12,1992-11-24,Manufacturing,Mass Customer,No,2.0,30.83665314027736,20-34
628,54.0,5,1313.8600000000001,2,2,1,221,Silver,4744 Garrison Drive,4132,QLD,Australia,4,Female,14,1981-10-24,Financial Services,Mass Customer,No,13.0,41.92243861157383,35-49
629,64.0,8,2245.43,2,4,2,242,Silver,64 Nelson Drive,4820,QLD,Australia,1,Male,29,1960-12-06,Manufacturing,High Net Worth,No,6.0,62.80445535387518,50-64
630,53.0,7,3717.21,2,3,3,233,Silver,87 Linden Park,2153,NSW,Australia,10,Male,90,1986-08-11,Property,Affluent Customer,Yes,17.0,37.12562553532997,35-49
631,16.0,6,1767.3899999999999,4,2,1,421,Platinum,329 Glacier Hill Alley,3076,VIC,Australia,8,Female,33,1966-09-14,Health,Affluent Customer,No,17.0,57.0329473831434,50-64
632,41.0,3,1726.6099999999997,3,1,1,311,Silver,725 Cordelia Junction,3028,VIC,Australia,8,Male,67,1998-04-26,Health,Mass Customer,No,1.0,25.418335173447105,20-34
634,17.0,8,4445.37,4,4,4,444,Platinum,04 Namekagon Pass,2326,NSW,Australia,3,Female,35,1978-01-30,Manufacturing,Mass Customer,No,15.0,45.65420586209916,35-49
637,7.0,13,5402.47,4,4,4,444,Platinum,9427 Tennyson Plaza,2759,NSW,Australia,8,Female,60,1976-09-23,Health,High Net Worth,No,13.0,47.006731923551484,35-49
638,60.0,8,3507.13,2,4,3,243,Silver,8300 Vermont Center,3429,VIC,Australia,6,Male,19,1967-04-29,Manufacturing,High Net Worth,No,13.0,56.41144249255701,50-64
639,8.0,6,2516.35,4,2,2,422,Platinum,44 Upham Crossing,2148,NSW,Australia,7,Male,51,1974-06-03,Manufacturing,Mass Customer,No,16.0,49.3147875304428,50-64
640,10.0,8,4278.6,4,4,4,444,Platinum,18 Forest Avenue,2204,NSW,Australia,9,Male,12,1975-07-12,Entertainment,High Net Worth,Yes,10.0,48.20867309961944,35-49
641,202.0,4,2456.51,1,1,2,112,Bronze,049 Michigan Parkway,3337,VIC,Australia,6,Male,86,1974-11-21,Manufacturing,Affluent Customer,No,3.0,48.84660543224776,35-49
642,24.0,7,2724.29,3,3,2,332,Gold,831 Hayes Park,4218,QLD,Australia,8,Male,9,1972-12-19,Property,Mass Customer,No,12.0,50.768616151153694,50-64
643,197.0,4,2308.04,1,1,2,112,Bronze,491 Merry Crossing,3011,VIC,Australia,4,Female,48,1982-12-29,Entertainment,Mass Customer,Yes,10.0,40.742400691561784,35-49
644,157.0,3,550.0,1,1,1,111,Bronze,598 Randy Way,2380,NSW,Australia,1,Male,59,1999-12-22,Health,Affluent Customer,No,2.0,23.76190143421906,20-34
646,110.0,4,2533.4099999999994,1,1,2,112,Bronze,3 Erie Hill,3564,VIC,Australia,2,Female,3,1973-07-22,Manufacturing,Affluent Customer,No,13.0,50.17996614465117,50-64
647,42.0,9,5279.19,3,4,4,344,Gold,678 Old Gate Pass,3171,VIC,Australia,9,Male,61,1957-01-23,Retail,Mass Customer,Yes,10.0,66.67311795474994,65-79
648,57.0,7,4222.63,2,3,4,234,Silver,9 Mayfield Road,4551,QLD,Australia,7,Male,86,1978-06-04,Financial Services,Mass Customer,Yes,9.0,45.3119674862256,35-49
649,11.0,5,263.5399999999999,4,2,1,421,Platinum,41759 Crowley Circle,2560,NSW,Australia,8,Female,23,1974-12-07,Financial Services,Mass Customer,Yes,10.0,48.80279892013595,35-49
650,50.0,6,2904.69,2,2,3,223,Silver,9892 Dennis Alley,2565,NSW,Australia,7,Male,81,1977-10-24,Health,Mass Customer,No,13.0,45.92252074878404,35-49
651,18.0,3,3473.32,3,1,3,313,Gold,58729 Moland Trail,2035,NSW,Australia,12,Female,76,1973-10-24,Health,Affluent Customer,No,13.0,49.922602885994245,50-64
652,5.0,9,2488.9000000000005,4,4,2,442,Platinum,36360 Coleman Trail,3850,VIC,Australia,3,Female,62,1996-11-24,Financial Services,High Net Worth,Yes,1.0,26.836571003067153,20-34
653,37.0,5,2623.84,3,2,2,322,Gold,67 Aberg Hill,2519,NSW,Australia,4,Male,68,1968-01-28,Financial Services,Affluent Customer,Yes,19.0,55.66125597264216,50-64
654,28.0,4,1884.8700000000001,3,1,2,312,Gold,88 La Follette Way,2166,NSW,Australia,8,Female,2,1993-05-19,Manufacturing,Affluent Customer,No,5.0,30.354781507047385,20-34
655,51.0,6,5753.879999999999,2,2,4,224,Silver,2884 Welch Lane,3807,VIC,Australia,8,Male,64,1974-11-25,Manufacturing,Affluent Customer,Yes,19.0,48.83565380421981,35-49
656,10.0,8,3749.56,4,4,3,443,Platinum,60 Meadow Vale Hill,3032,VIC,Australia,5,Female,80,1978-11-17,Manufacturing,High Net Worth,Yes,8.0,44.85747492306551,35-49
657,76.0,6,2729.0,2,2,2,222,Silver,9912 Eagle Crest Lane,4800,QLD,Australia,7,Male,66,1993-02-18,Manufacturing,Affluent Customer,No,10.0,30.60119313767635,20-34
658,97.0,5,2596.17,1,2,2,122,Bronze,355 Thackeray Circle,3025,VIC,Australia,9,Male,38,1944-01-24,Manufacturing,Affluent Customer,Yes,8.0,79.67270042393137,80-94
659,146.0,3,2481.28,1,1,2,112,Bronze,56 Anniversary Avenue,2121,NSW,Australia,12,Female,44,1979-10-09,Financial Services,Affluent Customer,Yes,15.0,43.96491723878726,35-49
660,12.0,4,3839.45,4,1,3,413,Platinum,14 Autumn Leaf Avenue,2570,NSW,Australia,10,Female,82,1995-07-29,Manufacturing,High Net Worth,No,6.0,28.16171799444959,20-34
661,34.0,6,3308.0899999999997,3,2,3,323,Gold,30274 Graedel Way,2577,NSW,Australia,7,Female,35,1988-05-07,IT,High Net Worth,No,14.0,35.38705458589226,35-49
662,86.0,7,3873.0,1,3,3,133,Bronze,74013 Mesta Terrace,3084,VIC,Australia,9,Female,41,1967-07-04,Manufacturing,Mass Customer,Yes,5.0,56.23074063009577,50-64
663,73.0,4,2132.7900000000004,2,1,2,212,Silver,15 Lindbergh Center,2199,NSW,Australia,9,Male,27,1997-07-17,Property,Affluent Customer,Yes,3.0,26.193162856424852,20-34
664,84.0,5,1939.1999999999998,2,2,2,222,Silver,3 Corscot Hill,4870,QLD,Australia,5,Male,38,1994-10-05,Health,High Net Worth,No,4.0,28.974876375525177,20-34
666,41.0,5,2459.7599999999998,3,2,2,322,Gold,25 Mesta Plaza,3975,VIC,Australia,8,Female,82,1983-11-01,Health,High Net Worth,Yes,15.0,39.90186324041631,35-49
667,19.0,5,3802.78,3,2,3,323,Gold,1349 Namekagon Crossing,2134,NSW,Australia,12,Female,62,1994-03-19,Manufacturing,High Net Worth,Yes,3.0,29.522457776922877,20-34
668,6.0,7,4375.9800000000005,4,3,4,434,Platinum,186 Shasta Avenue,2066,NSW,Australia,9,Female,61,1966-08-26,Health,Mass Customer,No,7.0,57.08496761627618,50-64
670,116.0,4,1542.17,1,1,1,111,Bronze,756 Farragut Place,4740,QLD,Australia,2,Female,75,1992-11-09,Retail,Affluent Customer,No,8.0,30.87772174538219,20-34
671,62.0,6,5393.05,2,2,4,224,Silver,197 Mifflin Hill,2260,NSW,Australia,10,Male,49,1984-07-25,Argiculture,Mass Customer,No,5.0,39.17084206955038,35-49
672,50.0,3,3633.1399999999994,2,1,3,213,Silver,618 Independence Pass,2800,NSW,Australia,1,Male,53,1977-01-12,Retail,High Net Worth,No,12.0,46.702824245775766,35-49
673,2.0,5,2058.7,4,2,2,422,Platinum,2836 Morning Drive,2304,NSW,Australia,7,Male,35,1975-06-27,Health,Mass Customer,Yes,4.0,48.24974170472427,35-49
675,0.0,3,1396.6200000000003,4,1,1,411,Gold,99 Cascade Crossing,2048,NSW,Australia,12,Female,37,1976-12-19,Financial Services,Mass Customer,Yes,17.0,46.76853401394349,35-49
677,71.0,5,940.36,2,2,1,221,Silver,5 Lyons Alley,2216,NSW,Australia,10,Male,59,1997-07-28,Financial Services,Mass Customer,No,5.0,26.16304587934798,20-34
